snr_db,pipeline,accuracy,macro_f1,samples
-8,Noisy baseline,0.3416666666666667,0.3431381461654792,240
-8,Denoising-assisted,0.35,0.34434331410978386,240
-4,Noisy baseline,0.4083333333333333,0.4164075581837511,240
-4,Denoising-assisted,0.4125,0.4231966660533092,240
0,Noisy baseline,0.5291666666666667,0.5362474598372713,240
0,Denoising-assisted,0.6208333333333333,0.621874408419353,240
4,Noisy baseline,0.6958333333333333,0.6873323093959132,240
4,Denoising-assisted,0.6958333333333333,0.6873323093959132,240
